                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1834,                 2.6086,                 1.5667,                0.00801,                0.61905,                0.07139,                0.01544,                 2.8364,                 3.3613,                 2.3955,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.4014,                 2.0581,                 1.6169,                0.00258,                0.30612,                0.00162,                0.00051,                  3.586,                 655.76,                 6.3503,               0.070235,              0.0032347,              0.0032347
                      3,                 2.5337,                 2.0238,                 1.7037,                 0.0003,                0.08844,                0.00017,                  6e-05,                 4.3422,                   9236,                 11.376,               0.054802,               0.004802,               0.004802
                      4,                 2.2889,                 1.7711,                 1.6377,                0.00084,                0.14286,                0.00038,                0.00012,                 4.1825,                 2715.7,                 8.1926,               0.039302,               0.006302,               0.006302
                      5,                 2.2996,                 1.6851,                 1.6936,                0.00097,                0.27891,                0.00062,                0.00021,                 3.7162,                 234.12,                 4.5167,               0.023735,              0.0077347,              0.0077347
                      6,                 2.3582,                 1.6835,                 1.6504,                0.00093,                0.02041,                0.00014,                  7e-05,                 5.3114,                 47.497,                 13.411,                0.00901,                0.00901,                0.00901
                      7,                 2.2736,                 1.6684,                 1.6851,                 0.2297,                0.13605,                 0.0595,                0.01375,                  3.251,                 19.395,                 4.4182,                0.00901,                0.00901,                0.00901
                      8,                  2.316,                 1.7839,                 1.6663,                0.00072,                0.04082,                0.00014,                  6e-05,                 4.6006,                 17.501,                 20.738,               0.008812,               0.008812,               0.008812
                      9,                 2.2183,                 1.6053,                 1.6026,                0.00726,                0.05442,                0.00255,                0.00072,                 3.5338,                 7.6329,                  2.842,               0.008614,               0.008614,               0.008614
                     10,                 2.3331,                 1.7072,                 1.6719,                0.05598,                0.18367,                 0.0274,                0.00702,                  3.171,                 5.4626,                 2.6089,               0.008416,               0.008416,               0.008416
                     11,                 2.2529,                 1.6057,                 1.6525,                0.32835,                0.17961,                0.14143,                0.04602,                 2.4841,                 3.3246,                 1.9116,               0.008218,               0.008218,               0.008218
                     12,                 2.2017,                 1.6306,                 1.6001,                0.37651,                0.45578,                0.37247,                0.13395,                 2.2667,                 1.8822,                 1.7685,                0.00802,                0.00802,                0.00802
                     13,                 2.0996,                 1.4452,                 1.5496,                0.39147,                0.42857,                 0.3532,                   0.14,                  2.165,                 2.3063,                 1.6633,               0.007822,               0.007822,               0.007822
                     14,                 2.1229,                 1.4775,                 1.5426,                0.42996,                0.38776,                0.32943,                0.12047,                 2.4349,                 1.8453,                 1.8606,               0.007624,               0.007624,               0.007624
                     15,                 2.0745,                 1.4517,                 1.5646,                0.27146,                0.23129,                0.11903,                0.03893,                 2.7035,                 2.7775,                 2.1025,               0.007624,               0.007624,               0.007624
                     16,                 2.0051,                 1.3946,                 1.4624,                0.15882,                0.17007,                0.06773,                0.02017,                 2.9618,                 2.9555,                 2.0177,               0.007228,               0.007228,               0.007228
                     17,                 1.9482,                 1.3368,                 1.4538,                0.19768,                0.23298,                0.12069,                0.03779,                 2.8497,                 2.6046,                 1.9335,                0.00703,                0.00703,                0.00703
                     18,                 1.9315,                  1.275,                 1.4636,                 0.6214,                0.52381,                0.55692,                 0.2055,                  2.134,                 1.4725,                 1.5649,               0.006832,               0.006832,               0.006832
